"REF_DATE","GEO","DGUID","Labour force characteristics","National Occupational Classification (NOC)","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-09","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Both sexes","Percentage","242","units","0","v102040297","1.6.4.1","3.4","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Both sexes","Percentage","242","units","0","v102040297","1.6.4.1","2.4","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Both sexes","Percentage","242","units","0","v102040297","1.6.4.1","2.0","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","1.5","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","2.0","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","2.4","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","4.0","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","4.7","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","3.2","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","5.4","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","4.0","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","4.9","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","2.4","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Males","Percentage","242","units","0","v102040298","1.6.4.2","2.5","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","1.8","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","2.8","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","2.5","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","4.5","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","4.9","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","4.5","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","3.2","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","3.0","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","1.9","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","2.4","","","","1"
